*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=etobi-shield
*Date=23:08:30
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
271;;;11.6949;-28.2121;90;Bottom;TXT1
272;;;9.74089;-21.799;0;Bottom;Copper Fill193
273;;THT;60.5491;-13.7342;90;Bottom;CH4
274;;THT;45.3091;-21.3542;90;Bottom;CH1
275;;;37.7825;-1.5298;0;Bottom;Copper Fill200
276;;;59.2836;-37.8517;0;Bottom;Copper Fill144
277;;;4.61009;-31.9335;0;Bottom;Copper Fill190
278;;;27.6225;-1.5298;0;Bottom;Copper Fill116
279;;;21.971;-2.3553;0;Bottom;Copper Fill114
280;;;41.4401;-3.2062;0;Bottom;Copper Fill208
